meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Championships - Fukuoka 2023,50.89,28/07/2023,Men 100 Butterfly LCM Male,AUS,Australia,"TEMPLE, Matthew",M,20/06/1999,,,100,100,917,Fukuoka,JPN
58th International Trophy Sette Colli,50.89,25/06/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,100,101,920,Rome,ITA
13th FINA World Championships 2009,50.90,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"MCGILL, Tyler",M,18/08/1987,,,102,102,,Rome,ITA
13th FINA World Championships 2009,50.90,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,102,103,,Rome,ITA
16th FINA World Championships 2015,50.91,07/08/2015,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,104,104,937,Kazan,RUS
Olympic Games Tokyo 2020,50.92,31/07/2021,Men 100 Butterfly LCM Male,POL,Poland,"MAJERSKI, Jakub",M,18/08/2000,,,105,105,918,Tokyo,JPN
Olympic Games Tokyo 2020,50.92,31/07/2021,Men 100 Butterfly LCM Male,AUS,Australia,"TEMPLE, Matthew",M,20/06/1999,,,105,106,918,Tokyo,JPN
TYR Pro Swim Series Des Moines 2020,50.92,06/03/2020,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,105,107,918,Des Moines,USA
17th FINA World Championships 2017,50.92,29/07/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,105,108,936,Budapest,HUN
Olympic Games Beijing 2008,50.92,15/08/2008,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,105,109,1006,Beijing,CHN
European Championships 2021,50.93,23/05/2021,Men 100 Butterfly LCM Male,BUL,Bulgaria,"MILADINOV, Josif",M,23/06/2003,,,110,110,918,Budapest,HUN
13th FINA World Championships 2009,50.93,31/07/2009,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,110,111,,Rome,ITA
19th FINA World Championships Budapest 2022,50.94,24/06/2022,Men 100 Butterfly LCM Male,JPN,Japan,"MIZUNUMA, Naoki",M,13/12/1996,,,112,112,914,Budapest,HUN
18th FINA World Championships 2019,50.94,26/07/2019,Men 100 Butterfly LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,112,113,935,Gwangju,KOR
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,50.95,05/06/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,114,114,917,Barcelona,ESP
18th FINA World Championships 2019,50.95,26/07/2019,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,114,115,934,Gwangju,KOR
Japan National Championships 2023 (50m),50.96,08/04/2023,Men 100 Butterfly LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,116,116,913,Tokyo,JPN
European Championships 2021,50.96,22/05/2021,Men 100 Butterfly LCM Male,GBR,Great Britain,"GUY, James",M,26/11/1995,,,116,117,916,Budapest,HUN
17th FINA World Championships 2017,50.96,29/07/2017,Men 100 Butterfly LCM Male,CHN,People's Republic of China,"LI, Zhuhao",M,09/01/1999,,,116,118,934,Budapest,HUN
2017 ST TXLA Speedo Southern Sectionals,50.96,08/07/2017,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,116,119,934,Austin,USA
16th FINA World Championships 2015,50.96,08/08/2015,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,116,120,934,Kazan,RUS
19th FINA World Championships Budapest 2022,50.97,24/06/2022,Men 100 Butterfly LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,121,121,913,Budapest,HUN
19th FINA World Championships Budapest 2022,50.97,23/06/2022,Men 100 Butterfly LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,121,122,913,Budapest,HUN
Olympic Games Tokyo 2020,50.97,29/07/2021,Men 100 Butterfly LCM Male,POL,Poland,"MAJERSKI, Jakub",M,18/08/2000,,,121,123,915,Tokyo,JPN
Olympic Games Beijing 2008,50.97,15/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,121,124,1003,Beijing,CHN
World Aquatics Championships - Fukuoka 2023,50.98,28/07/2023,Men 100 Butterfly LCM Male,NED,Netherlands,"KORSTANJE, Nyls",M,05/02/1999,,,125,125,912,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,50.98,28/07/2023,Men 100 Butterfly LCM Male,ISR,Israel,"COHEN GROUMI, Gal",M,22/04/2002,,,125,126,912,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,50.98,28/07/2023,Men 100 Butterfly LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,125,127,912,Fukuoka,JPN
10th FINA World Championships 2003,50.98,26/07/2003,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,125,128,,Barcelona,ESP
European Championships 2021,50.99,23/05/2021,Men 100 Butterfly LCM Male,GBR,Great Britain,"GUY, James",M,26/11/1995,,,129,129,914,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,51.00,28/07/2023,Men 100 Butterfly LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,130,130,911,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,51.00,28/07/2023,Men 100 Butterfly LCM Male,SUI,Switzerland,"PONTI, Noe",M,01/06/2001,,,130,131,911,Fukuoka,JPN
Olympic Games Tokyo 2020,51.00,29/07/2021,Men 100 Butterfly LCM Male,ROC,ROC,"MINAKOV, Andrei",M,17/03/2002,,,130,132,914,Tokyo,JPN
Japan National Championships (50m),51.00,08/04/2021,Men 100 Butterfly LCM Male,JPN,Japan,"KAWAMOTO, Takeshi",M,19/02/1995,,,130,133,914,Tokyo,JPN
TT - TYR Pro Swim Series 2018,51.00,01/03/2018,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,130,134,932,Atlanta,USA
Atlanta PSS 2018,51.00,01/03/2018,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,130,135,932,Atlanta,USA
17th FINA World Championships 2017,51.00,29/07/2017,Men 100 Butterfly LCM Male,AUS,Australia,"IRVINE, Grant",M,17/03/1991,,,130,136,932,Budapest,HUN
US Olympic Team Trials - Swimming,51.00,02/07/2016,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,130,137,932,Omaha,USA
Japanese National Sports Festival,51.00,11/09/2009,Men 100 Butterfly LCM Male,JPN,Japan,"KAWAMOTO, Kouhei",M,06/10/1979,,,130,138,,Niigata,JPN
European Championships 2022,51.01,13/08/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,139,139,911,Rome,ITA
13th FINA World Championships 2009,51.02,31/07/2009,Men 100 Butterfly LCM Male,BRA,Brazil,"MANGABEIRA, Gabriel",M,31/01/1982,,,140,140,,Rome,ITA
13th FINA World Championships 2009,51.02,31/07/2009,Men 100 Butterfly LCM Male,VEN,Venezuela,"SUBIRATS, Albert",M,25/09/1986,,,140,141,,Rome,ITA
Hungarian National Championships (50m),51.03,23/04/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,142,142,909,Debrecen,HUN
Japan National Championships (50m),51.03,09/04/2021,Men 100 Butterfly LCM Male,JPN,Japan,"MIZUNUMA, Naoki",M,13/12/1996,,,142,143,912,Tokyo,JPN
16th FINA World Championships 2015,51.03,07/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,142,144,930,Kazan,RUS
16th FINA World Championships 2015,51.03,07/08/2015,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,142,145,930,Kazan,RUS
13th FINA World Championships 2009,51.03,31/07/2009,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,142,146,,Rome,ITA
Phillips 66 National Championships (50m) 2022,51.04,28/07/2022,Men 100 Butterfly LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,147,147,909,Irvine,USA
18th Asian Games 2018,51.04,22/08/2018,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,147,148,929,Jakarta,INA
FINA/airweave Swimming World Cup 2015,51.04,16/08/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,147,149,929,Paris-Chartres,FRA
World Aquatics Championships - Fukuoka 2023,51.05,29/07/2023,Men 100 Butterfly LCM Male,NED,Netherlands,"KORSTANJE, Nyls",M,05/02/1999,,,150,150,908,Fukuoka,JPN
TYR Pro Swim Series Westmont 2023,51.05,13/04/2023,Men 100 Butterfly LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,150,151,908,Westmont,USA
TYR Pro Swim Series Fort Lauderdale 2023,51.05,04/03/2023,Men 100 Butterfly LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,150,152,908,Fort Lauderdale,USA
Russian National Swimming Cup Final,51.06,27/07/2023,Men 100 Butterfly LCM Male,CLB,Club,"ZHIKHAREV, Petr",M,09/10/1999,,,153,153,908,kazan,RUS
Olympic Games Tokyo 2020,51.06,30/07/2021,Men 100 Butterfly LCM Male,BUL,Bulgaria,"MILADINOV, Josif",M,23/06/2003,,,153,154,911,Tokyo,JPN
17th FINA World Championships 2017,51.06,28/07/2017,Men 100 Butterfly LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,153,155,928,Budapest,HUN
16th FINA World Championships 2015,51.06,08/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,153,156,928,Kazan,RUS
15th FINA World Championships 2013,51.06,03/08/2013,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,153,157,928,Barcelona,ESP
Japan Open (50m) 2021,51.07,06/06/2021,Men 100 Butterfly LCM Male,JPN,Japan,"MIZUNUMA, Naoki",M,13/12/1996,,,158,158,910,Tokyo,JPN
Hungarian National Championships (50m),51.07,26/03/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,158,159,910,Budapest,HUN
Hungarian National Championships (50m),51.07,12/12/2020,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,158,160,910,Kaposvar,HUN
13th FINA World Championships 2009,51.07,01/08/2009,Men 100 Butterfly LCM Male,KEN,Kenya,"DUNFORD, Jason",M,28/11/1986,,,158,161,,Rome,ITA
13th FINA World Championships 2009,51.07,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"MCGILL, Tyler",M,18/08/1987,,,158,162,,Rome,ITA
Bulgarian Open Team Championships,51.08,19/12/2020,Men 100 Butterfly LCM Male,BUL,Bulgaria,"MILADINOV, Josif",M,23/06/2003,,,163,163,910,Sofia,BUL
6th FINA World Junior Swimming Championships 2017,51.08,25/08/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,163,164,927,Indianapolis,USA
11th FINA World Championships 2005,51.08,29/07/2005,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,163,165,,Montreal,CAN
TYR Pro Swim Series San Antonio 2022,51.09,31/03/2022,Men 100 Butterfly LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,166,166,906,San Antonio,USA
Olympic Games Tokyo 2020,51.09,31/07/2021,Men 100 Butterfly LCM Male,GUA,Guatemala,"MARTINEZ, Luis Carlos",M,11/12/1995,,,166,167,909,Tokyo,JPN
Philipps 66 USA National Championships (50m),51.09,02/08/2019,Men 100 Butterfly LCM Male,USA,United States of America,"ROONEY, Maxime",M,16/04/1998,,,166,168,927,Palo Alto,USA
17th FINA World Championships 2017,51.09,28/07/2017,Men 100 Butterfly LCM Male,ITA,Italy,"CODIA, Piero",M,22/10/1989,,,166,169,927,Budapest,HUN
FINA/airweave Swimming World Cup 2015,51.09,07/11/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,166,170,927,Dubai,UAE
16th FINA World Championships 2015,51.09,07/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,166,171,927,Kazan,RUS
Phillips 66 International Team Trials 2022,51.10,28/04/2022,Men 100 Butterfly LCM Male,USA,United States of America,"JULIAN, Trenton",M,09/12/1998,,,172,172,906,Greensboro,USA
Japan Corporate Swimming Championships 2021,51.10,07/11/2021,Men 100 Butterfly LCM Male,JPN,Japan,"MIZUNUMA, Naoki",M,13/12/1996,,,172,173,908,Tochigi,JPN
European Championships 2021,51.10,22/05/2021,Men 100 Butterfly LCM Male,BUL,Bulgaria,"MILADINOV, Josif",M,23/06/2003,,,172,174,908,Budapest,HUN
Olympic Games Beijing 2008,51.10,14/08/2008,Men 100 Butterfly LCM Male,UKR,Ukraine,"SERDINOV, Andriy",M,17/11/1982,,,172,175,995,Beijing,CHN
10th FINA World Championships 2003,51.10,26/07/2003,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,172,176,,Barcelona,ESP
19th FINA World Championships Budapest 2022,51.11,24/06/2022,Men 100 Butterfly LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,177,177,905,Budapest,HUN
Phillips 66 International Team Trials 2022,51.11,28/04/2022,Men 100 Butterfly LCM Male,USA,United States of America,"JULIAN, Trenton",M,09/12/1998,,,177,178,905,Greensboro,USA
Olympic Games Tokyo 2020,51.11,30/07/2021,Men 100 Butterfly LCM Male,ROC,ROC,"MINAKOV, Andrei",M,17/03/2002,,,177,179,908,Tokyo,JPN
European Championships 2021,51.11,23/05/2021,Men 100 Butterfly LCM Male,POL,Poland,"MAJERSKI, Jakub",M,18/08/2000,,,177,180,908,Budapest,HUN
Japan Inter-College Swimming Competition,51.11,07/09/2019,Men 100 Butterfly LCM Male,JPN,Japan,"ISHIKAWA, Shinnosuke",M,08/12/2000,,,177,181,926,Tokyo,JPN
US National Championships (50m),51.11,27/07/2018,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,177,182,926,Irvine,USA
16th FINA World Championships 2015,51.11,07/08/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,177,183,926,Kazan,RUS
13th FINA World Championships 2009,51.11,31/07/2009,Men 100 Butterfly LCM Male,BRA,Brazil,"MANGABEIRA, Gabriel",M,31/01/1982,,,177,184,,Rome,ITA
Olympic Games Tokyo 2020,51.12,30/07/2021,Men 100 Butterfly LCM Male,AUS,Australia,"TEMPLE, Matthew",M,20/06/1999,,,185,185,907,Tokyo,JPN
Youth Olympic Games Buenos Aires 2018,51.12,09/10/2018,Men 100 Butterfly LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,185,186,925,Buenos Aires,ARG
Olympic Games Beijing 2008,51.12,16/08/2008,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,185,187,994,Beijing,CHN
Japan Inter-College Swimming Competition,51.13,09/10/2021,Men 100 Butterfly LCM Male,JPN,Japan,"TANAKA, Daiki",M,21/08/1999,,,188,188,907,Tokyo,JPN
Olympic Games Beijing 2008,51.13,16/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,188,189,994,Beijing,CHN
Israels Adults Championship - Criteria Competition,51.14,08/06/2023,Men 100 Butterfly LCM Male,ISR,Israel,"FRANKEL, Tomer",M,18/10/2000,,,190,190,904,Netanya,ISR
19th FINA World Championships Budapest 2022,51.14,23/06/2022,Men 100 Butterfly LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,190,191,904,Budapest,HUN
TYR Pro Swim Series San Antonio 2022,51.14,31/03/2022,Men 100 Butterfly LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,190,192,904,San Antonio,USA
Olympic Games Rio 2016,51.14,12/08/2016,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,190,193,924,Rio de Janeiro,BRA
Olympic Games Rio 2016,51.14,12/08/2016,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,190,194,924,Rio de Janeiro,BRA
Olympic Games Rio 2016,51.14,12/08/2016,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,190,195,924,Rio de Janeiro,BRA
US Olympic Team Trials,51.14,25/06/2012,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,190,196,924,Omaha,USA
Olympic Games Beijing 2008,51.14,14/08/2008,Men 100 Butterfly LCM Male,KEN,Kenya,"DUNFORD, Jason",M,28/11/1986,,,190,197,993,Beijing,CHN
19th FINA World Championships Budapest 2022,51.15,24/06/2022,Men 100 Butterfly LCM Male,AUS,Australia,"TEMPLE, Matthew",M,20/06/1999,,,198,198,903,Budapest,HUN
Atlanta Classic 2021,51.15,14/05/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,198,199,906,Atlanta,USA
Rotterdam Qualification Meet 2020,51.15,04/12/2020,Men 100 Butterfly LCM Male,SUI,Switzerland,"PONTI, Noe",M,01/06/2001,,,198,200,906,Rotterdam,NED
